iteration 2:	success	average 
function 1: 	1	87.7662
function 2: 	1	811542
function 3: 	1	7.686e+007
function 4: 	1	447.852
function 5: 	1	50.3098
function 6: 	1	12.6709
function 7: 	1	13.2005
function 8: 	1	20.4156
function 9: 	1	6.3221
function 10: 	1	17.4116
function 11: 	1	35.1174
function 12: 	1	33.3165
function 13: 	1	30.9213
function 14: 	1	1184.49
function 15: 	1	1109.2
function 16: 	1	0.86853
function 17: 	1	64.1476
function 18: 	1	58.0011
function 19: 	1	5.30561
function 20: 	1	2.70715
function 21: 	1	404.798
function 22: 	1	1339.52
function 23: 	1	1285.45
function 24: 	1	214.525
function 25: 	1	219.408
function 26: 	1	141.099
function 27: 	1	564.668
function 28: 	1	686.88
