iteration 10:	success	average 
function 1: 	10	112.254
function 2: 	10	976231
function 3: 	10	1.48888e+008
function 4: 	10	1487.67
function 5: 	10	49.576
function 6: 	10	18.6275
function 7: 	10	26.0477
function 8: 	10	20.2935
function 9: 	10	4.96027
function 10: 	10	14.6391
function 11: 	10	34.9313
function 12: 	10	35.0536
function 13: 	10	36.2959
function 14: 	10	1212.95
function 15: 	10	1215.51
function 16: 	10	1.06968
function 17: 	10	55.3973
function 18: 	10	60.8379
function 19: 	10	4.5439
function 20: 	10	2.93919
function 21: 	10	388.245
function 22: 	10	1191.9
function 23: 	10	1253.62
function 24: 	10	217.553
function 25: 	10	218.43
function 26: 	10	229.671
function 27: 	10	494.117
function 28: 	10	514.901
