iteration 10:	success	average 
function 1: 	10	17421.9
function 2: 	10	2.04678e+008
function 3: 	10	9.98486e+015
function 4: 	10	9.93154e+006
function 5: 	10	19893.4
function 6: 	10	1515.98
function 7: 	10	56439.7
function 8: 	10	21.0774
function 9: 	10	14.4863
function 10: 	10	2340.05
function 11: 	10	280.33
function 12: 	10	288.472
function 13: 	10	321.513
function 14: 	10	2782.75
function 15: 	10	2826.25
function 16: 	10	4.76943
function 17: 	10	209.583
function 18: 	10	245.03
function 19: 	10	112155
function 20: 	10	4.99973
function 21: 	10	989.857
function 22: 	10	2917.42
function 23: 	10	3283.23
function 24: 	10	264.389
function 25: 	10	251.637
function 26: 	10	387.12
function 27: 	10	983.371
function 28: 	10	1579.55
