iteration 10:	success	average 
function 1: 	10	492.407
function 2: 	10	2.75549e+006
function 3: 	10	1.94358e+009
function 4: 	10	71.1756
function 5: 	10	290.294
function 6: 	10	72.4135
function 7: 	10	59.7372
function 8: 	10	20.2489
function 9: 	10	3.72845
function 10: 	10	157.269
function 11: 	10	16.9627
function 12: 	10	37.0816
function 13: 	10	39.9518
function 14: 	10	545.208
function 15: 	10	996.602
function 16: 	10	0.398535
function 17: 	10	15.3856
function 18: 	10	25.9114
function 19: 	10	0.82799
function 20: 	10	3.17484
function 21: 	10	370.174
function 22: 	10	586.156
function 23: 	10	1233.45
function 24: 	10	222.084
function 25: 	10	223.434
function 26: 	10	249.327
function 27: 	10	612.162
function 28: 	10	502.734
