iteration 0:	success	average 
function 1: 	0	-1
function 2: 	0	-1
function 3: 	0	-1
function 4: 	0	-1
function 5: 	0	-1
function 6: 	0	-1
function 7: 	0	-1
function 8: 	0	-1
function 9: 	0	-1
function 10: 	0	-1
function 11: 	0	-1
function 12: 	0	-1
function 13: 	0	-1
function 14: 	0	-1
function 15: 	0	-1
function 16: 	0	-1
function 17: 	0	-1
function 18: 	0	-1
function 19: 	0	-1
function 20: 	0	-1
function 21: 	0	-1
function 22: 	0	-1
function 23: 	0	-1
function 24: 	0	-1
function 25: 	0	-1
function 26: 	0	-1
function 27: 	0	-1
function 28: 	0	-1
